"playerId","name","sel","copa","positions","number","force","legend","squad"
"moacyr-barbosa","Barbosa","BRA","1950","GOL","0","84","true","BRA-1950-f7784c0b"
"augusto-da-costa","Augusto","BRA","1950","LD/ZAG","0","80","false","BRA-1950-f7784c0b"
"juvenal-amarijo","Juvenal","BRA","1950","LE/ZAG","0","78","false","BRA-1950-f7784c0b"
"bigode","Bigode","BRA","1950","MD/LE","0","78","false","BRA-1950-f7784c0b"
"jose-carlos-bauer","Bauer","BRA","1950","VOL","0","80","false","BRA-1950-f7784c0b"
"danilo-alvim","Danilo","BRA","1950","MC/MEI","0","82","false","BRA-1950-f7784c0b"
"friaca","Friaça","BRA","1950","PD","0","79","false","BRA-1950-f7784c0b"
"zizinho","Zizinho","BRA","1950","MEI/CA","0","91","true","BRA-1950-f7784c0b"
"ademir-de-menezes","Ademir","BRA","1950","CA","0","89","true","BRA-1950-f7784c0b"
"jair-da-rosa-pinto","Jair","BRA","1950","MEI/CA","0","85","false","BRA-1950-f7784c0b"
"chico-aramburu","Chico","BRA","1950","PE/CA","0","80","false","BRA-1950-f7784c0b"
"nilton-santos","Nílton Santos","BRA","1950","LE","0","82","true","BRA-1950-f7784c0b"
"carlos-castilho","Castilho","BRA","1950","GOL","0","78","false","BRA-1950-f7784c0b"
"maneca","Maneca","BRA","1950","PD/CA","0","76","false","BRA-1950-f7784c0b"
"baltazar-1926","Baltazar","BRA","1950","CA","0","76","false","BRA-1950-f7784c0b"
"noronha","Noronha","BRA","1950","VOL","0","76","false","BRA-1950-f7784c0b"
"rodrigues-1950","Rodrigues","BRA","1950","CA/PD","0","74","false","BRA-1950-f7784c0b"
"adaozinho","Adãozinho","BRA","1950","CA/PD","0","74","false","BRA-1950-f7784c0b"
"alfredo-ramos","Alfredo","BRA","1950","CA","0","73","false","BRA-1950-f7784c0b"
"juvenal-nena","Nena","BRA","1950","ZAG/LD","0","74","false","BRA-1950-f7784c0b"
"rui-campos","Rui","BRA","1950","MC/MEI","0","74","false","BRA-1950-f7784c0b"
"ely-do-amparo","Ely","BRA","1950","VOL/ZAG","0","74","false","BRA-1950-f7784c0b"
"giuseppe-moro","Moro","ITA","1950","GOL","0","78","false","ITA-1950-e7f51af6"
"lucidio-sentimenti","Sentimenti IV","ITA","1950","GOL","0","79","false","ITA-1950-e7f51af6"
"giuseppe-casari","Casari","ITA","1950","GOL","0","74","false","ITA-1950-e7f51af6"
"emilio-caprile","Caprile","ITA","1950","GOL","0","72","false","ITA-1950-e7f51af6"
"ivano-blason","Blason","ITA","1950","ZAG/LD","0","77","false","ITA-1950-e7f51af6"
"carlo-parola","Parola","ITA","1950","ZAG","0","86","true","ITA-1950-e7f51af6"
"attilio-giovannini","Giovannini","ITA","1950","LD/ZAG","0","76","false","ITA-1950-e7f51af6"
"zeffiro-furiassi","Furiassi","ITA","1950","LE/ZAG","0","73","false","ITA-1950-e7f51af6"
"osvaldo-fattori","Fattori","ITA","1950","LE/MD","0","74","false","ITA-1950-e7f51af6"
"carlo-annovazzi","Annovazzi","ITA","1950","MD/MC/MEI","0","80","false","ITA-1950-e7f51af6"
"aldo-campatelli","Campatelli","ITA","1950","MD/VOL","0","77","false","ITA-1950-e7f51af6"
"giacomo-mari","Mari","ITA","1950","MD/MC/MEI","0","76","false","ITA-1950-e7f51af6"
"leandro-remondini","Remondini","ITA","1950","VOL/MC/MD","0","73","false","ITA-1950-e7f51af6"
"augusto-magli","Magli","ITA","1950","VOL/MC/MEI/MD","0","75","false","ITA-1950-e7f51af6"
"egisto-pandolfini","Pandolfini","ITA","1950","MC/MEI","0","80","false","ITA-1950-e7f51af6"
"riccardo-carapellese","Carapellese","ITA","1950","PE/CA","0","82","false","ITA-1950-e7f51af6"
"amedeo-amadei","Amadei","ITA","1950","CA/MEI","0","84","true","ITA-1950-e7f51af6"
"giampiero-boniperti","Boniperti","ITA","1950","CA/PD","0","85","true","ITA-1950-e7f51af6"
"benito-lorenzi","Lorenzi","ITA","1950","CA/PD","0","81","false","ITA-1950-e7f51af6"
"gino-cappello","Cappello","ITA","1950","PD/ME","0","80","false","ITA-1950-e7f51af6"
"ermes-muccinelli","Muccinelli","ITA","1950","PD/ME","0","76","false","ITA-1950-e7f51af6"
"omero-tognon","Tognon","ITA","1950","VOL/MC/MD","0","74","false","ITA-1950-e7f51af6"
"ignacio-eizaguirre","Eizaguirre","ESP","1950","GOL","0","82","false","ESP-1950-37ae195f"
"antoni-ramallets","Ramallets","ESP","1950","GOL","0","84","true","ESP-1950-37ae195f"
"juan-acuna","Acuña","ESP","1950","GOL","0","75","false","ESP-1950-37ae195f"
