player_id,player,team,year,squad,number,positions,pos_en,legend,overall,PAC,SHO,PAS,DRI,DEF,PHY,GK,enriched
moacyr-barbosa,Barbosa,BRA,1950,BRA-1950-f7784c0b,0,GOL,GK,True,84,48,48,48,48,48,76,84,GK
augusto-da-costa,Augusto,BRA,1950,BRA-1950-f7784c0b,0,LD/ZAG,RB/CB,False,80,78,56,72,70,75,68,48,template
juvenal-amarijo,Juvenal,BRA,1950,BRA-1950-f7784c0b,0,LE/ZAG,LB/CB,False,78,76,56,70,69,74,67,46,template
bigode,Bigode,BRA,1950,BRA-1950-f7784c0b,0,MD/LE,RM/LB,False,78,75,65,72,75,63,65,46,template
jose-carlos-bauer,Bauer,BRA,1950,BRA-1950-f7784c0b,0,VOL,DM,False,80,68,56,76,66,79,74,48,template
danilo-alvim,Danilo,BRA,1950,BRA-1950-f7784c0b,0,MC/MEI,CM/AM,False,82,72,64,81,75,71,69,50,template
friaca,Friaça,BRA,1950,BRA-1950-f7784c0b,0,PD,RW,False,79,78,73,70,78,54,64,47,template
zizinho,Zizinho,BRA,1950,BRA-1950-f7784c0b,0,MEI/CA,AM/ST,True,91,79,77,89,88,60,66,59,template
ademir-de-menezes,Ademir,BRA,1950,BRA-1950-f7784c0b,0,CA,ST,True,89,84,88,74,81,49,81,57,template
jair-da-rosa-pinto,Jair,BRA,1950,BRA-1950-f7784c0b,0,MEI/CA,AM/ST,False,85,76,73,83,82,58,64,53,template
chico-aramburu,Chico,BRA,1950,BRA-1950-f7784c0b,0,PE/CA,LW/ST,False,80,79,73,71,79,54,65,48,template
nilton-santos,Nílton Santos,BRA,1950,BRA-1950-f7784c0b,0,LE,LB,True,82,79,57,73,71,76,69,50,template
carlos-castilho,Castilho,BRA,1950,BRA-1950-f7784c0b,0,GOL,GK,False,78,48,48,48,48,48,70,78,GK
maneca,Maneca,BRA,1950,BRA-1950-f7784c0b,0,PD/CA,RW/ST,False,76,75,71,68,75,53,63,44,template
baltazar-1926,Baltazar,BRA,1950,BRA-1950-f7784c0b,0,CA,ST,False,76,73,76,67,72,47,72,44,template
